Session Time,Bug Title,Expected Result,Actual Result,Steps to Reproduce,Severity (1-5),Position,Play Time,Death Count,Score
"00:17.63","No Coin hitboz","Pixkup coin","Cant pickup coin","Walked through it",4,"(-7.17, -53.77)",17.63,0,0
"00:41.86","Spike broke","die on spike","Dont die on spike","walk through",4,"(-11.80, -55.73)",41.87,0,0
"00:57.07","Coin came back","Coin stays gone","Coin reapears","When i died the coin came back",2,"(5.42, -55.73)",57.07,1,30
"01:14.33","Get stuck","die?","Dont die","Fall in a hole",5,"(13.91, -62.36)",74.34,6,60
"01:53.52","2nd spike broke","THE SPIKE KILL ME","THE SPIKE DOESNT KILL ME","WALK THROUGH SPIKE",4,"(8.42, -55.73)",113.52,6,60
"03:23.85","rEPORT and play at same time","the game stays paused when reporting","it unpauses when you press p","press p when reporting",1,"(8.54, -55.73)",203.86,6,60
"04:51.36","checkpoint doesnt work","i reapawn when i die","i dont","i walk through the checkpoint and die",2,"(8.54, -55.73)",291.36,8,70
"05:34.79","PLATFORM DOESNT WORK","I SHOULD SIT ON THE PLATFORM","FALL THROUGH","I TOUCH THE PLATFOM",4,"(8.54, -55.73)",334.79,10,70
"06:02.47","CANNOT PICKUP COIN","PICKUP COIN","CANT PICKUP COIN","I WALK THROUGH COIN",4,"(8.54, -55.73)",362.48,10,70
"07:40.90","THE END HITBOX IS BROKEN.","JUMP OVER THE END","THE LEVEL FINISHES","JUMP OVER THE END",3,"(9.26, -55.73)",460.91,12,80
"09:17.37","cannot jump on platform","jump on platform","cant jump","fall in hole and try jump",3,"(8.54, -55.73)",557.38,13,90
"00:31.32","you can jump on nothing","not to jump in mid air","jump in mid air","go to the end and spam jump",2,"(-10.48, -55.73)",31.31,0,0
"02:04.52","THE HITBOX IS OFF","tHE HITBOX FOR THE LAST WALL SHOULD COVER A SHAPE","IT DOESNT COVER THE SHAPE","GO TO END and press j",3,"(-11.80, -55.73)",124.51,3,40
"03:38.12","cant jump when hanging off of the ledge","jump","no jump","haNG OFF OF THE EDGE OF LEDGES",2,"(-3.37, -53.77)",218.12,4,60
"03:59.10","JUMP WHILE ON THE SIDE OF LEDGES","NOT TO WALL JUMP","WALL JUMP","JUMP ONM THE SIDE OF LEDGES",2,"(-2.77, -55.73)",239.09,4,60
