Session Time,Bug Title,Expected Result,Actual Result,Steps to Reproduce,Severity (1-5),Position,Death Count,Score
00:52.0,Can't collect coin,Coin disappears,Coin stays put,Walked over the first coin,3,"(-11.80, -55.73)",0,0
01:39.8,Red spike does nothing,Spike would kill me and respawn me or atleast block me,You can walkthrough the spike,Tried to jump onto the spike,3,"(-11.80, -53.98)",0,0
03:41.0,Coin respawns,Dying would respawn you as normal,Dying on the spike spawns the coin next to it when you respawn,Tested to see if the spike killed me,4,"(8.06, -55.73)",5,60
04:39.1,Checkpoint didn't work,Dying on a spike after going past another checking point would spawn you at the checkpoint,After dying you spawned at the previous checkpoint,Walked through the checkpoint and then died.,4,"(8.54, -55.73)",7,70
05:08.5,Spike not working,Spike would kill me again,You could just walk through the spike and it did nothing,Walk to the spike,3,"(25.96, -53.77)",8,70
05:50.6,Unable to jump after falling down pit,Still able to jump even though I fell down,Stuck to the bottom of the pit without the ability to jump,Fall down the pit and try to jump out,3,"(7.70, -55.73)",9,70
06:46.6,Unable to jump from corner,Would be able to jump will coming off of the platform,When you go to jump off the platform you get no jump,Try jumping as you hit the corner of the platform,2,"(8.54, -55.73)",10,70
07:30.6,Platform missing,Jump on the platform to collect the coin,Fell through the platform but still able to collect the coin,Tried to jump on the last platform to collect the coin,3,"(1.82, -55.73)",10,90
07:53.1,Coin suddenly uncollectable,Collect the coin,After resetting a couple of times and going top to the end I tried to collect the coin again but noticed that I couldnt,After dying a couple of times try collecting the coin,3,"(8.54, -55.73)",10,90
08:08.0,Coin unable to collect,Collecting the coin,Cant collect the coin,Try collecting the coin,2,"(39.16, -55.73)",12,90
09:04.3,The end was a little delayed,When getting to the end it would show an end screen or resetting from the start,The ending was delayed and was able to sit at the end for a little bit longer and had to move again for it to register. Game then went back to the start afterwards,Go to the end,1,"(-11.66, -55.73)",12,100
